MODULE	GENE
105	ACOT12
105	FGF1
105	CHRNA2
105	HADHB
105	ACAT1
105	ABCB4
105	ACADM
105	DECR1
105	FIBP
105	FBP2
105	HMGCS2
105	CYP4A11
105	ABHD6
105	MMD
105	TMEM56
105	PCSK6
105	ACADL
105	DCI
105	ECH1
105	ETFDH
105	CPT1A
4360	HECW2
4360	E2F7
4360	PTGFR
4360	PPARGC1A
4360	RNF152
4360	ELL2
4360	PPL
4360	USP1
4360	PQLC1
4360	PRKD3
4360	PDE4B
4360	HDC
4360	FKBP5
4360	PAQR7
4360	EGLN3
4360	EIF1AX
4360	Contig398_RC
4360	IL12RB1
4360	ETV6
4360	UAP1
4360	IL6R
4360	OSBPL11
4360	TMEM2
4360	P2RY5
4360	RASD1
4360	HERPUD1
4360	HISPPD1
4360	PPAPDC3
4360	TNS3
4360	PTP4A1
4360	HNF4A
4360	UBE2G2
4360	KLF3
4360	FAM35A
4360	RFX4
4360	FAM89A
4360	RGS4
4360	SLC25A32
4360	EFNA1
4360	ADAMTS1
4360	RNF43
4360	CKS2
4360	ETS2
4360	GJA1
4360	NM_130469
4360	NR2F2
4360	GNPDA1
4360	hCT1831218
4360	TMEM87B
4360	PDLIM1
4360	PIGA
4360	TNS1
4360	RXRG
4360	ADRA2B
4360	TSC22D2
4360	CLDN3
4360	TSC22D3
4360	CR749513
4360	ZNF276
4360	DUSP16
4360	ZNF467
4360	RIPK4
4360	CHIC2
4360	ADCY6
4360	KIAA1853
4360	KLF2
4360	SDC4
4360	SEMA4C
4360	FAM46C
4360	SKIL
4360	FIGN
4360	SLC10A6
4360	ASAH3L
4360	SLC39A14
4360	KIAA0247
4360	FZD1
4360	NM_032495
4360	GADD45B
4360	C8orf4
4360	GJA4
4360	GNAI1
4360	TMEM23
4360	CDC37L1
4360	CBX4
4360	TMC7
4360	TNFRSF12A
4360	CDKN1A
4360	MCART1
4360	TACC2
4360	TP53INP1
4360	CLDN14
4360	CDKN2D
4360	COBLL1
4360	RAPGEF4
4360	IMPACT
4360	INHBB
4360	KCTD15
4360	KIAA0182
4360	FOXO1A
4360	KIAA1754
4360	KIF5B
4360	S100G
4360	AMOTL2
4360	SETDB2
4360	SFRS5
4360	ARL6IP2
4360	LPIN1
4360	MAP3K6
4360	MAPKAPK2
4360	FOXA3
4360	NM_014859
4360	ATP1B1
4360	NKD1
4360	C9orf77
4360	TDO2
4360	NM_032718
4360	C9orf150
4360	TMEM100
4360	DDX28
4360	DDX5
4360	C16orf76
4360	C1orf210
4360	C21orf55
4360	ANGPTL4
4360	APBB3
4360	ZBTB12
4360	ARRDC2
4360	LPIN2
4360	LMNB1
4360	BCAR3
4360	C14orf93
4360	TFAP4
4360	NAB2
4360	GADD45A
4360	NM_019000
4360	ARHGEF3
4360	THOC2
4360	XLKD1
4360	BAIAP2
4360	BAIAP2L1
4360	MBNL2
4360	MIDN
4360	MAP3K5
4360	CREM
4360	AMICA1
4360	ZBTB10
4360	KLHL25
4360	MADD
4360	KLF9
4407	TPCN1
4407	FGF10
4407	FDPS
4407	DHCR7
4407	TRIM9
4407	GAS2
4407	FASN
4407	TMPRSS7
4407	RDH11
4407	FADS1
4407	C12orf38
4407	C14orf1
4407	ACACA
4407	GALE
4407	TSR1
4407	STARD4
4407	ACAT2
4407	FAM96B
4407	ACACB
4407	FAM107A
4407	AQP8
4407	QDPR
4407	RDH16
4407	HMGCR
4407	ACLY
4407	CDH23
4407	SQLE
4407	MMAB
4407	TALDO1
4407	TFPI2
4407	LACTB2
4407	TM7SF2
4407	KHK
4407	AACS
4407	GSTM2
4407	ROPN1L
4407	MSMO1
4407	UNG
4407	WDR5
4407	ZC3H12A
4407	GPAM
4407	CYP2R1
4407	GPX5
4407	ALLC
4407	TKT
4407	ELOVL6
4407	BET1
4407	ATP5S
4407	C2
4407	SLC45A2
4407	AK098740
4407	PMVK
4407	KCNH8
4407	GRAMD3
4407	PNPLA5
4407	THRSP
4407	DERL2
4407	DERL3
4407	HOXB1
4407	ACSL5
4407	GNGT1
4407	MVD
4407	GPR84
4407	CYB5B
4407	FADS2
4407	EAF2
4407	NM_017518
4407	LSS
4407	SC5DL
4407	MID1IP1
4407	DNAJC17
4407	ADIPOR2
4407	CYB5R3
4407	IRS1
4407	TLCD1
4407	PAOX
4407	DUSP9
4407	ELOVL5
4407	LOC728392
4407	HMGCS1
4407	NSDHL
4407	IDH1
4407	ACSS2
4407	DNTT
4407	PGK1
4407	MX2
4407	PCSK9
4407	LRRC14
4407	NM_033408
4407	NR1I3
4407	SCARB1
4407	IDI1
4407	DBI
4407	PDHA1
4407	SETBP1
4407	CNN2
4407	ACSL4
4407	PGD
4407	ECHDC1
4407	Contig53615_RC
4407	CS
4407	DLAT
4407	PDK1
4407	CYP51A1
4407	OR1N1
4407	PDZK1IP1
4407	INSIG1
4407	OPRS1
4464	TARDBP
4464	SYNPO
4464	KIF17
4464	FAM214B
