MODULE	SOURCE	DESCR
100	mouse	100:kidneycortex
10	mouse	10:kidneymedulla
101	mouse	101:kidneycortex
102	mouse	102:kidneycortex
103	mouse	103:kidneycortex
104	mouse	104:liver
105	mouse	105:liver
106	mouse	106:liver
107	mouse	107:liver
108	mouse	108:liver
109	mouse	109:liver
110	mouse	110:liver
111	mouse	111:liver
11	mouse	11:kidneymedulla
112	mouse	112:liver
113	mouse	113:liver
114	mouse	114:liver
115	mouse	115:liver
116	mouse	116:liver
117	mouse	117:liver
118	mouse	118:liver
119	mouse	119:liver
1	mouse	1:kidneymedulla
120	mouse	120:liver
121	mouse	121:liver
12	mouse	12:kidneymedulla
122	mouse	122:liver
123	mouse	123:liver
124	mouse	124:liver
125	mouse	125:liver
126	mouse	126:liver
127	mouse	127:liver
128	mouse	128:liver
129	mouse	129:liver
130	mouse	130:liver
131	mouse	131:liver
13	mouse	13:kidneymedulla
132	mouse	132:liver
133	mouse	133:liver
134	mouse	134:liver
135	mouse	135:liver
136	mouse	136:liver
137	mouse	137:liver
138	mouse	138:liver
139	mouse	139:liver
140	mouse	140:liver
141	mouse	141:liver
14	mouse	14:kidneymedulla
142	mouse	142:liver
143	mouse	143:liver
144	mouse	144:liver
145	mouse	145:liver
146	mouse	146:liver
147	mouse	147:liver
148	mouse	148:liver
149	mouse	149:liver
150	mouse	150:liver
151	mouse	151:liver
15	mouse	15:kidneymedulla
152	mouse	152:liver
153	mouse	153:liver
154	mouse	154:liver
155	mouse	155:liver
156	mouse	156:liver
157	mouse	157:liver
158	mouse	158:liver
159	mouse	159:liver
160	mouse	160:liver
161	mouse	161:liver
16	mouse	16:kidneymedulla
162	mouse	162:liver
163	mouse	163:liver
164	mouse	164:liver
165	mouse	165:liver
166	mouse	166:adipose
167	mouse	167:adipose
168	mouse	168:adipose
169	mouse	169:adipose
170	mouse	170:adipose
171	mouse	171:adipose
17	mouse	17:kidneymedulla
172	mouse	172:adipose
173	mouse	173:adipose
174	mouse	174:adipose
175	mouse	175:adipose
176	mouse	176:adipose
177	mouse	177:adipose
178	mouse	178:adipose
179	mouse	179:adipose
180	mouse	180:adipose
181	mouse	181:adipose
18	mouse	18:kidneymedulla
182	mouse	182:adipose
183	mouse	183:adipose
184	mouse	184:adipose
185	mouse	185:adipose
186	mouse	186:adipose
187	mouse	187:adipose
188	mouse	188:adipose
189	mouse	189:adipose
190	mouse	190:adipose
191	mouse	191:adipose
19	mouse	19:kidneymedulla
192	mouse	192:adipose
193	mouse	193:adipose
194	mouse	194:adipose
195	mouse	195:adipose
196	mouse	196:adipose
197	mouse	197:adipose
198	mouse	198:adipose
199	mouse	199:adipose
200	mouse	200:adipose
201	mouse	201:adipose
