MODULE	NODE	GENE
6699	Adk	Adk
6699	Adra1b	Adra1b
6699	Aldh1b1	Aldh1b1
6699	Aldob	Aldob
6699	Apoc3	Apoc3
6699	Atp8b1	Atp8b1
6699	Bhmt	Bhmt
6699	Cnksr2	Cnksr2
6699	Cyp17a1	Cyp17a1
6699	Dbh	Dbh
6699	CL302992	CL302992
6699	Ephb4	Ephb4
6699	Fads2	Fads2
6699	Fbp1	Fbp1
6699	Fbxw8	Fbxw8
6699	Foxa3	Foxa3
6699	AK081405	AK081405
6699	Gck	Gck
6699	Gfra4	Gfra4
6699	Khk	Khk
6699	Ldhd	Ldhd
6699	Mdh1	Mdh1
6699	Nme7	Nme7
6699	Pklr	Pklr
6699	Rnd2	Rnd2
6699	Slc23a1	Slc23a1
6699	Snrpn	Snrpn
6699	Tacc1	Tacc1
6699	Taldo1	Taldo1
6699	Tm6sf2	Tm6sf2
6699	Tmem86b	Tmem86b
6699	Uroc1	Uroc1
6675	Aadac	Aadac
6675	Acox2	Acox2
6675	Acsl3	Acsl3
6675	Acss2	Acss2
6675	Adh7	Adh7
6675	Anks4b	Anks4b
6675	Apob	Apob
6675	Arl6ip1	Arl6ip1
6675	Armc2	Armc2
6675	Asgr1	Asgr1
6675	Atp13a4	Atp13a4
6675	B2m	B2m
6675	Bcas2	Bcas2
6675	4930579F01Rik	4930579F01Rik
6675	Casp3	Casp3
6675	Chrna4	Chrna4
6675	Cox5a	Cox5a
6675	Cyb5b	Cyb5b
6675	Cyp26a1	Cyp26a1
6675	Cyp2r1	Cyp2r1
6675	Cyyr1	Cyyr1
6675	Dhcr7	Dhcr7
6675	Echdc1	Echdc1
6675	Eif4g2	Eif4g2
6675	Elovl6	Elovl6
6675	D14Ertd171e	D14Ertd171e
6675	Extl2	Extl2
6675	Fads1	Fads1
6675	Fasn	Fasn
6675	Fbp1	Fbp1
6675	Fdft1	Fdft1
6675	Fdps	Fdps
6675	Ftl1	Ftl1
6675	Gabarap	Gabarap
6675	Galr1	Galr1
6675	Gpam	Gpam
6675	Gpr133	Gpr133
6675	Grb7	Grb7
6675	Gucy2c	Gucy2c
6675	Hao1	Hao1
6675	Hmgcr	Hmgcr
6675	Hrsp12	Hrsp12
6675	Hsd11b1	Hsd11b1
6675	Hsd17b13	Hsd17b13
6675	Hsd17b7	Hsd17b7
6675	Hsd3b1	Hsd3b1
6675	Idi1	Idi1
6675	H28	H28
6675	Il11ra1	Il11ra1
6675	Insig1	Insig1
6675	Itih3	Itih3
6675	Lcat	Lcat
6675	Ldlr	Ldlr
6675	Lrp2bp	Lrp2bp
6675	Lrriq1	Lrriq1
6675	Lss	Lss
6675	Mccc1	Mccc1
6675	Mmab	Mmab
6675	Mme	Mme
6675	Sc4mol	Sc4mol
6675	Mum1	Mum1
6675	Mvd	Mvd
6675	8030451F13Rik	8030451F13Rik
6675	Olfr1034	Olfr1034
6675	Park7	Park7
6675	Pcbd1	Pcbd1
6675	Pdzrn4	Pdzrn4
6675	Pemt	Pemt
6675	Pla2g4f	Pla2g4f
6675	Pnpla5	Pnpla5
6675	Polr3g	Polr3g
6675	Ppm1l	Ppm1l
6675	Prom1	Prom1
6675	Rab3d	Rab3d
6675	Rbm8a	Rbm8a
6675	Robo2	Robo2
6675	Ropn1l	Ropn1l
6675	Ror2	Ror2
6675	Rpl19	Rpl19
6675	Rpl3	Rpl3
6675	Rpl5	Rpl5
6675	Rps23	Rps23
6675	Rps3a	Rps3a
6675	Scnm1	Scnm1
6675	Slc22a15	Slc22a15
6675	Slc25a1	Slc25a1
6675	Slc30a7	Slc30a7
6675	Smad7	Smad7
6675	Sprr4	Sprr4
6675	Spry1	Spry1
6675	Sqle	Sqle
6675	Srebf1	Srebf1
6675	St7l	St7l
6675	Stard4	Stard4
6675	Tmem14c	Tmem14c
6675	Ttpa	Ttpa
6675	Uqcrc2	Uqcrc2
6675	Wnt9a	Wnt9a
6675	B230312I18Rik	B230312I18Rik
6648	Acad10	Acad10
6648	Antxr2	Antxr2
6648	Brap	Brap
6648	Coq5	Coq5
6648	Ift81	Ift81
6648	Kctd10	Kctd10
6648	Lnx1	Lnx1
6648	Ncor2	Ncor2
6648	Oasl1	Oasl1
6648	P2rx4	P2rx4
6648	Pcgf5	Pcgf5
6648	Rchy1	Rchy1
6648	Scarb2	Scarb2
6648	Sdad1	Sdad1
6648	Sirt4	Sirt4
6648	Tnik	Tnik
6648	Ubc	Ubc
6648	Vps33a	Vps33a
6643	Armc6	Armc6
6643	B3gnt3	B3gnt3
6643	2700029M09Rik	2700029M09Rik
6643	Chd9	Chd9
6643	Ciapin1	Ciapin1
6643	Cpne2	Cpne2
6643	Gpt2	Gpt2
6643	Kcnn1	Kcnn1
6643	Lsm4	Lsm4
6643	Pbx4	Pbx4
6643	Slc18a1	Slc18a1
6643	Slc7a2	Slc7a2
6643	Tmem38a	Tmem38a
5582	Abca1	Abca1
5582	Abcd4	Abcd4
5582	Actr3b	Actr3b
5582	Acvr2a	Acvr2a
5582	Adam10	Adam10
5582	Adam17	Adam17
5582	Adss	Adss
5582	Akap10	Akap10
5582	Ankrd44	Ankrd44
5582	Anpep	Anpep
5582	Anxa11	Anxa11
5582	Anxa6	Anxa6
5582	Anxa8	Anxa8
5582	Arf1	Arf1
5582	Arhgap12	Arhgap12
5582	Arhgap18	Arhgap18
5582	Arhgap5	Arhgap5
5582	Arid4b	Arid4b
5582	Arl5b	Arl5b
5582	Asb7	Asb7
5582	Asf1a	Asf1a
5582	Atf5	Atf5
5582	Atg16l1	Atg16l1
5582	Atp6v1a	Atp6v1a
5582	Atp6v1b2	Atp6v1b2
5582	Atp6v1h	Atp6v1h
5582	B3gat3	B3gat3
5582	B3gnt1	B3gnt1
5582	Bach1	Bach1
5582	Baz1b	Baz1b
5582	Bcar1	Bcar1
5582	Bcas3	Bcas3
5582	Bche	Bche
5582	Bcl2l12	Bcl2l12
5582	Bcr	Bcr
5582	Bnip3	Bnip3
5582	Btrc	Btrc
5582	AI597468	AI597468
5582	4930430F08Rik	4930430F08Rik
5582	Gm1564	Gm1564
5582	BC031181	BC031181
5582	4930503L19Rik	4930503L19Rik
5582	BC055324	BC055324
5582	1700066M21Rik	1700066M21Rik
5582	D17Wsu92e	D17Wsu92e
5582	Cab39	Cab39
5582	Cald1	Cald1
5582	Calm2	Calm2
5582	Camk2b	Camk2b
5582	Capn7	Capn7
5582	Casp3	Casp3
5582	Cbx3	Cbx3
5582	Cd38	Cd38
5582	Cdc27	Cdc27
5582	Cdc42ep4	Cdc42ep4
5582	Cdk8	Cdk8
5582	Cebpg	Cebpg
5582	Cenpb	Cenpb
5582	Chordc1	Chordc1
5582	2010110P09Rik	2010110P09Rik
5582	Chrm5	Chrm5
5582	Clcn7	Clcn7
5582	Clmn	Clmn
5582	Cnnm3	Cnnm3
5582	Cog8	Cog8
5582	Cpox	Cpox
5582	Crcp	Crcp
5582	Creld1	Creld1
5582	Crk	Crk
5582	Crkl	Crkl
5582	Crtc2	Crtc2
5582	Csnk1g1	Csnk1g1
5582	Csnk1g3	Csnk1g3
5582	Ctdsp1	Ctdsp1
5582	Ctdspl2	Ctdspl2
