MODULE	GENE
104	HDDC3
104	NGRN
104	AQP11
104	SULT1A1
104	RKHD3
104	RRM1
104	MESDC1
104	TRIM34
104	TRIM68
104	RAB6A
104	ACSM3
104	THUMPD1
104	QPRT
104	CRYM
104	KCNE3
105	ACOT12
105	FGF1
105	CHRNA2
105	HADHB
105	ACAT1
105	ABCB4
105	ACADM
105	DECR1
105	FIBP
105	FBP2
105	HMGCS2
105	CYP4A11
105	ABHD6
105	MMD
105	TMEM56
105	PCSK6
105	ACADL
105	DCI
105	ECH1
105	ETFDH
105	CPT1A
106	SYT12
106	SLC39A7
106	SPCS2
106	UBXD2
106	FDX1
106	TMED3
106	ENTPD7
106	FNBP1L
106	FIBCD1
106	COG6
106	SLC30A5
106	SLC38A3
106	C9orf7
106	METTL7A
106	DNAJB11
106	MAP2K6
106	ZNF467
106	SYNCRIP
106	METTL1
106	UBE2G2
106	GORASP2
106	SEPT11
106	MAGEH1
106	YARS
106	LTV1
106	FN3K
106	FAM98A
106	TXLNA
106	TARS
106	GLT8D1
106	TK1
106	SFRS3
106	STX18
106	CCDC75
106	CCT3
106	C7orf42
106	CAD
106	SLC35B1
106	SRP19
106	GBF1
106	TBRG1
106	GOLGA1
106	GOLGA5
106	LMAN1
106	DNAJC3
106	SURF4
106	DHDDS
106	DPP9
106	FNTB
106	TFG
106	NRN1
106	STT3A
106	SEC24D
106	ALG2
106	FAM114A1
106	RECQL
106	KIAA0776
106	VPS37C
106	PDIA4
106	LGALS8
106	ATF6
106	GNAT2
106	LRRC59
106	CDK2AP2
106	SRM
106	SRPRB
106	FNDC3B
106	EIF2B4
106	ORMDL2
106	C20orf59
106	NME6
106	DDX39A
106	DENR
106	MGAT2
106	ARMET
106	NGEF
106	POLG2
106	NARS
106	MARS
106	MCFD2
106	Contig43807_RC
106	GFPT1
106	OSBP
106	UGCGL1
106	SEC23B
106	PCBP1
106	C21orf25
106	CALR
106	ERO1LB
106	ARCN1
106	PSMC2
106	PSMD14
106	EIF2AK3
106	TASP1
106	STCH
