HUMAN	MOUSE
A1BG	A1bg
A1CF	A1cf
A2LD1	A2ld1
A2M	A2m
A2ML1	Gm7298
A3GALT2	A3galt2
A4GALT	A4galt
A4GNT	A4gnt
AA063406	Prdx5
AAAS	Aaas
AACS	Aacs
AADAC	Aadac
AADACL1	Aadacl1
AADACL2	Aadacl2
AADACL3	Aadacl3
AADACL4	Gm13177
AADAT	Aadat
AAED1	1110018J18Rik
AAGAB	Aagab
AAK1	Aak1
AAMP	Aamp
AANAT	Aanat
AAR2	0610011L14Rik
AARD	Aard
AARS2	Aars2
AARS	Aars
AARSD1	Aarsd1
AASDH	Aasdh
AASDHPPT	Aasdhppt
AASS	Aass
AATF	Aatf
AATK	Aatk
AB002330	2610101N10Rik
AB002339	C330016O10Rik
AB006624	BC030440
AB007861	D230004J03Rik
AB007863	A130090K04Rik
AB007864	1810013C15Rik
AB011146	5730507A09Rik
AB014514	AU042671
AB014608	Parc
AB015330	D11Bwg0280e
AB018289	2310045A20Rik
AB018310	BC021523
AB020702	9530077C05Rik
AB023164	BC018507
AB023201	4930505D03Rik
AB023222	1700047E16Rik
AB028947	AF529169
AB028949	9030409G11Rik
AB029025	3732412D22Rik
AB032369	NM_013748
AB032981	BC017133
AB033022	Gm632
AB033037	C530008M17Rik
AB033076	C330002I19Rik
AB037766	5730509K17Rik
AB037769	4833426J09Rik
AB037815	AI790298
AB037823	2010209O12Rik
AB037835	A230048G03Rik
AB046420	Rhd
AB046765	2410025L10Rik
AB046769	D630045J12Rik
AB046791	4930431J08Rik
AB046859	Obscn
AB051431	1810041L15Rik
AB051467	C130092O11Rik
AB051471	MMT00011785
AB051511	D5Wsu178e
AB051514	6330505N24Rik
AB051516	6820424L24Rik
AB051533	AW413431
AB075830	6530401C20Rik
ABAT	Abat
ABCA12	4833417A11Rik
ABCA13	Abca13
ABCA17P	Abca17
ABCA1	Abca1
ABCA2	Abca2
ABCA3	Abca3
ABCA4	Abca4
ABCA5	Abca5
ABCA6	Abca6
ABCA7	Abca7
ABCA8	Abca8b
ABCA9	Abca9
ABCB10	Abcb10
ABCB11	Abcb11
ABCB1	Abcb1a
ABCB4	Abcb4
ABCB5	Abcb5
ABCB6	Abcb6
ABCB7	Abcb7
ABCB8	Abcb8
ABCB9	Abcb9
ABCC10	Abcc10
ABCC12	Abcc12
ABCC1	Abcc1
ABCC2	Abcc2
ABCC3	Abcc3
ABCC4	Abcc4
ABCC5	Abcc5
ABCC6	Abcc6
ABCC8	Abcc8
ABCC9	Abcc9
ABCD1	Abcd1
ABCD2	Abcd2
ABCD3	Abcd3
ABCD4	Abcd4
ABCE1	Abce1
ABCF1	Abcf1
ABCF2	Abcf2
ABCF3	Abcf3
ABCG1	Abcg1
ABCG2	Abcg2
ABCG4	Abcg4
ABCG5	Abcg5
ABCG8	Abcg8
ABHD10	Abhd10
ABHD11	Abhd11
ABHD12	Abhd12
ABHD12B	Abhd12b
ABHD13	Abhd13
ABHD14A	Abhd14a
ABHD14B	Abhd14b
ABHD15	Abhd15
ABHD16A	Abhd16a
ABHD16B	Abhd16b
ABHD1	Abhd1
ABHD2	Abhd2
ABHD3	Abhd3
ABHD4	Abhd4
ABHD5	Abhd5
ABHD6	Abhd6
ABHD7	Abhd7
ABHD8	Abhd8
ABHD9	Abhd9
ABI1	Abi1
ABI2	Abi2
ABI3	Abi3
ABI3BP	Abi3bp
ABL1	Abl1
ABL2	Abl2
